Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALABAMA,2020,25,,-,17,,175,,260,,,-,0,,,-,1,,ALABAMA,,20202539,POINT (-86.844516 32.756889)
KANSAS,2020,25,,-,1,,,-,127,,,-,0,,,-,3,,KANSAS,,20202522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,25,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20202534,POINT (-79.130883 35.52603)
GUAM,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202566,POINT (144.653198 13.3532)
NEW JERSEY,2020,25,,-,32,,284,,380,,,-,4,,24,,29,,NEW JERSEY,,20202510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,25,,-,19,,138,,232,,,-,0,,,-,,-,NEW MEXICO,,20202554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,25,3,,158,,1326,,2031,,,-,6,,31,,42,,,EAST NORTH CENTRAL,20202514,
TENNESSEE,2020,25,,-,27,,287,,433,,,-,1,,2,,4,,TENNESSEE,,20202542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,25,,-,11,,55,,161,,,-,0,,,-,,-,CONNECTICUT,,20202503,POINT (-72.738288 41.575155)
MARYLAND,2020,25,,-,21,,205,,296,,,-,1,,,-,,-,MARYLAND,,20202533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,25,,-,34,,76,,303,,,-,2,,3,,5,,SOUTH CAROLINA,,20202535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,25,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20202546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202565,POINT (145.725693 15.1834)
OHIO,2020,25,2,,62,,575,,782,,,-,5,,30,,27,,OHIO,,20202518,POINT (-82.70936 40.415534)
MINNESOTA,2020,25,,-,6,,,-,72,,,-,0,,,-,,-,MINNESOTA,,20202523,POINT (-94.198308 46.349153)
LOUISIANA,2020,25,,-,24,,177,,265,,,-,3,,3,,,-,LOUISIANA,,20202545,POINT (-91.840238 30.921314)
HAWAII,2020,25,,-,4,,30,,67,,,-,0,,,-,,-,HAWAII,,20202560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,25,7,,146,,1199,,1804,,,-,4,,13,,12,,,SOUTH ATLANTIC,20202528,
PENNSYLVANIA,2020,25,,-,11,,78,,118,,,-,1,,2,,2,,PENNSYLVANIA,,20202513,POINT (-77.838886 40.896694)
UTAH,2020,25,,-,13,,93,,129,,,-,1,,,-,1,,UTAH,,20202555,POINT (-111.678222 39.323779)
COLORADO,2020,25,1,,24,,222,,362,,,-,0,,,-,1,,COLORADO,,20202550,POINT (-105.547832 38.998552)
VERMONT,2020,25,,-,5,,21,,36,,,-,1,,1,,1,,VERMONT,,20202508,POINT (-72.662695 44.075252)
KENTUCKY,2020,25,,-,34,,165,,244,,,-,2,,2,,1,,KENTUCKY,,20202540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202567,POINT (-66.414655 18.215692)
MAINE,2020,25,1,,9,,59,,114,,,-,0,,,-,,-,MAINE,,20202504,POINT (-69.06137 45.117911)
VIRGINIA,2020,25,,-,3,,6,,13,,,-,0,,,-,,-,VIRGINIA,,20202536,POINT (-78.666382 37.510861)
ARIZONA,2020,25,5,,36,,425,,470,,,-,1,,3,,1,,ARIZONA,,20202549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,25,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20202564,
WISCONSIN,2020,25,1,,23,,187,,271,,,-,0,,,-,,-,WISCONSIN,,20202519,POINT (-89.732969 44.639954)
IDAHO,2020,25,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20202551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202568,POINT (-64.840836 18.060868)
MICHIGAN,2020,25,,-,44,,315,,575,,,-,4,,1,,13,,MICHIGAN,,20202517,POINT (-85.730977 44.874798)
GEORGIA,2020,25,5,,73,,371,,465,,,-,0,,,-,,-,GEORGIA,,20202532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,25,3,,42,,345,,483,,,-,10,,15,,6,,,NEW YORK CITY,20202512,
ARKANSAS,2020,25,5,,33,,142,,212,,,-,1,,1,,,-,ARKANSAS,,20202544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,25,,-,19,,121,,199,,,-,0,,,-,,-,MISSISSIPPI,,20202541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,25,,-,5,,29,,63,,,-,2,,,-,1,,SOUTH DAKOTA,,20202527,POINT (-100.230491 44.43614)
WYOMING,2020,25,,-,3,,17,,25,,,-,0,,,-,,-,WYOMING,,20202556,POINT (-107.55145 42.999627)
MISSOURI,2020,25,,-,41,,287,,413,,,-,1,,3,,33,,MISSOURI,,20202524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,25,9,,127,,989,,1485,,,-,11,,53,,38,,,MIDDLE ATLANTIC,20202509,
CALIFORNIA,2020,25,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20202559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,25,,-,16,,108,,205,,,-,2,,3,,,-,WEST VIRGINIA,,20202537,POINT (-80.613729 38.642579)
FLORIDA,2020,25,2,,62,,382,,459,,,-,2,,7,,6,,FLORIDA,,20202531,POINT (-82.420978 28.260731)
MONTANA,2020,25,,-,7,,42,,70,,,-,1,,,-,,-,MONTANA,,20202552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,25,1,,54,,423,,830,,,-,3,,5,,38,,,WEST NORTH CENTRAL,20202520,
MASSACHUSETTS,2020,25,,-,19,,176,,284,,,-,1,,,-,3,,MASSACHUSETTS,,20202505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,25,6,,93,,1040,,1506,,,-,2,,3,,3,,,MOUNTAIN,20202548,
INDIANA,2020,25,,-,29,,249,,403,,,-,0,,,-,2,,INDIANA,,20202516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202569,
US TERRITORIES,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202563,
TENNESSEE,2020,29,,-,27,,301,,462,,,-,1,,2,,4,,TENNESSEE,,20202942,POINT (-86.343226 35.842998)
ARKANSAS,2020,29,2,,33,,146,,218,,,-,1,,1,,,-,ARKANSAS,,20202944,POINT (-92.439162 34.899825)
LOUISIANA,2020,29,2,,24,,186,,275,,,-,3,,3,,,-,LOUISIANA,,20202945,POINT (-91.840238 30.921314)
OKLAHOMA,2020,29,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20202946,POINT (-97.508297 35.583449)
MOUNTAIN,2020,29,9,,93,,1088,,1616,,,-,2,,3,,3,,,MOUNTAIN,20202948,
ARIZONA,2020,29,1,,36,,446,,507,,,-,1,,3,,1,,ARIZONA,,20202949,POINT (-111.664616 34.293239)
COLORADO,2020,29,7,,24,,229,,386,,,-,0,,,-,1,,COLORADO,,20202950,POINT (-105.547832 38.998552)
IDAHO,2020,29,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20202951,POINT (-114.659366 44.389073)
MONTANA,2020,29,,-,7,,43,,76,,,-,1,,,-,,-,MONTANA,,20202952,POINT (-109.645127 47.033521)
NEW MEXICO,2020,29,1,,19,,146,,247,,,-,0,,,-,,-,NEW MEXICO,,20202954,POINT (-106.108388 34.421369)
UTAH,2020,29,,-,13,,103,,140,,,-,1,,,-,1,,UTAH,,20202955,POINT (-111.678222 39.323779)
WYOMING,2020,29,,-,3,,18,,25,,,-,0,,,-,,-,WYOMING,,20202956,POINT (-107.55145 42.999627)
CALIFORNIA,2020,29,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20202959,POINT (-119.662127 37.211164)
HAWAII,2020,29,,-,4,,29,,72,,,-,0,,,-,,-,HAWAII,,20202960,POINT (-157.854309 21.361013)
US TERRITORIES,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202963,
AMERICAN SAMOA,2020,29,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20202964,
NORTHERN MARIANA ISLANDS,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202965,POINT (145.725693 15.1834)
GUAM,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202966,POINT (144.653198 13.3532)
PUERTO RICO,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202967,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202968,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202969,
LOUISIANA,2020,34,3,,24,,198,,292,,,-,3,,3,,,-,LOUISIANA,,20203445,POINT (-91.840238 30.921314)
NEBRASKA,2020,32,1,,9,,76,,126,,,-,1,,2,,1,,NEBRASKA,,20203225,POINT (-99.810595 41.527099)
HAWAII,2020,34,,-,4,,30,,78,,,-,0,,,-,,-,HAWAII,,20203460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,34,9,,147,,1402,,2104,,,-,4,,13,,19,,,SOUTH ATLANTIC,20203428,
PENNSYLVANIA,2020,34,1,,11,,83,,137,,,-,1,,2,,2,,PENNSYLVANIA,,20203413,POINT (-77.838886 40.896694)
UTAH,2020,34,,-,13,,109,,149,,,-,1,,1,,1,,UTAH,,20203455,POINT (-111.678222 39.323779)
COLORADO,2020,34,2,,24,,240,,395,,,-,0,,,-,1,,COLORADO,,20203450,POINT (-105.547832 38.998552)
VERMONT,2020,34,,-,5,,22,,41,,,-,1,,1,,1,,VERMONT,,20203408,POINT (-72.662695 44.075252)
KENTUCKY,2020,34,,-,34,,176,,268,,,-,2,,2,,1,,KENTUCKY,,20203440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20203467,POINT (-66.414655 18.215692)
MAINE,2020,34,,-,9,,64,,126,,,-,0,,,-,,-,MAINE,,20203404,POINT (-69.06137 45.117911)
VIRGINIA,2020,34,,-,3,,7,,13,,,-,0,,,-,,-,VIRGINIA,,20203436,POINT (-78.666382 37.510861)
ARIZONA,2020,34,5,,36,,472,,530,,,-,1,,3,,1,,ARIZONA,,20203449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,34,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20203464,
WISCONSIN,2020,34,1,,23,,207,,312,,,-,0,,,-,,-,WISCONSIN,,20203419,POINT (-89.732969 44.639954)
IDAHO,2020,34,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20203451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203468,POINT (-64.840836 18.060868)
MICHIGAN,2020,34,1,,46,,345,,658,,,-,4,,1,,13,,MICHIGAN,,20203417,POINT (-85.730977 44.874798)
GEORGIA,2020,34,4,,75,,432,,554,,,-,0,,,-,,-,GEORGIA,,20203432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,34,4,,42,,367,,540,,,-,10,,15,,6,,,NEW YORK CITY,20203412,
ARKANSAS,2020,34,,-,33,,152,,232,,,-,1,,1,,,-,ARKANSAS,,20203444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,34,,-,19,,127,,225,,,-,0,,,-,,-,MISSISSIPPI,,20203441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,34,,-,5,,33,,69,,,-,2,,,-,1,,SOUTH DAKOTA,,20203427,POINT (-100.230491 44.43614)
WYOMING,2020,34,,-,3,,18,,27,,,-,0,,,-,,-,WYOMING,,20203456,POINT (-107.55145 42.999627)
MISSOURI,2020,34,,-,41,,287,,464,,,-,1,,3,,37,,MISSOURI,,20203424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,34,6,,127,,1070,,1669,,1,,11,,54,,38,,,MIDDLE ATLANTIC,20203409,
CALIFORNIA,2020,34,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20203459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,34,,-,16,,126,,225,,,-,2,,3,,,-,WEST VIRGINIA,,20203437,POINT (-80.613729 38.642579)
FLORIDA,2020,34,3,,62,,442,,556,,,-,2,,7,,10,,FLORIDA,,20203431,POINT (-82.420978 28.260731)
MONTANA,2020,34,,-,7,,57,,81,,,-,1,,2,,,-,MONTANA,,20203452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,34,2,,54,,435,,917,,,-,3,,5,,42,,,WEST NORTH CENTRAL,20203420,
MASSACHUSETTS,2020,34,,-,19,,176,,318,,,-,1,,,-,3,,MASSACHUSETTS,,20203405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,34,8,,93,,1172,,1681,,,-,2,,6,,3,,,MOUNTAIN,20203448,
INDIANA,2020,34,,-,29,,274,,458,,,-,0,,,-,2,,INDIANA,,20203416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20203469,
US TERRITORIES,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203463,
SOUTH DAKOTA,2020,36,,-,5,,33,,70,,,-,2,,,-,2,,SOUTH DAKOTA,,20203627,POINT (-100.230491 44.43614)
WYOMING,2020,36,,-,3,,21,,28,,,-,0,,,-,,-,WYOMING,,20203656,POINT (-107.55145 42.999627)
MISSOURI,2020,36,,-,41,,287,,473,,,-,1,,3,,38,,MISSOURI,,20203624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,36,7,,127,,1093,,1720,,,-,11,,56,,38,,,MIDDLE ATLANTIC,20203609,
CALIFORNIA,2020,36,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20203659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,36,,-,16,,126,,227,,,-,2,,3,,,-,WEST VIRGINIA,,20203637,POINT (-80.613729 38.642579)
FLORIDA,2020,36,5,,62,,452,,581,,,-,2,,8,,10,,FLORIDA,,20203631,POINT (-82.420978 28.260731)
MONTANA,2020,36,,-,7,,57,,87,,,-,1,,2,,,-,MONTANA,,20203652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,36,1,,54,,437,,933,,,-,3,,5,,44,,,WEST NORTH CENTRAL,20203620,
MASSACHUSETTS,2020,36,,-,19,,192,,323,,,-,1,,,-,3,,MASSACHUSETTS,,20203605,POINT (-71.481104 42.151077)
TOTAL,2020,26,6,,811,,7023,,11321,,,-,13,,128,,162,,,TOTAL,20202670,
US RESIDENTS,2020,26,6,,811,,7023,,11321,,,-,13,,128,,162,,,US RESIDENTS,20202601,
NEW HAMPSHIRE,2020,26,,-,8,,50,,75,,,-,1,,2,,,-,NEW HAMPSHIRE,,20202606,POINT (-71.57139 43.680429)
NEW YORK,2020,26,,-,94,,282,,518,,,-,4,,12,,1,,NEW YORK,,20202611,POINT (-75.59655 42.921241)
PACIFIC,2020,26,,-,11,,112,,152,,,-,2,,5,,2,,,PACIFIC,20202657,
WEST SOUTH CENTRAL,2020,26,2,,273,,778,,1465,,,-,4,,11,,12,,,WEST SOUTH CENTRAL,20202643,
NEBRASKA,2020,26,1,,9,,71,,113,,,-,1,,2,,1,,NEBRASKA,,20202625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,26,3,,77,,765,,1158,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20202638,
NORTH DAKOTA,2020,26,,-,6,,37,,47,,,-,0,,,-,,-,NORTH DAKOTA,,20202626,POINT (-100.46931 47.446305)
NEVADA,2020,26,,-,16,,103,,224,,,-,0,,,-,,-,NEVADA,,20202653,POINT (-114.916992 39.283294)
ILLINOIS,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20202615,POINT (-89.148632 40.124144)
IOWA,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20202621,POINT (-93.500061 42.074659)
TEXAS,2020,26,,-,225,,457,,983,,,-,4,,7,,12,,TEXAS,,20202647,POINT (-99.317341 31.447238)
ALASKA,2020,26,,-,9,,83,,82,,,-,2,,5,,2,,ALASKA,,20202658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,26,,-,6,,35,,26,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202630,POINT (-77.016275 38.904785)
WASHINGTON,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20202662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,26,,-,38,,369,,733,,,-,1,,3,,4,,,NEW ENGLAND,20202602,
RHODE ISLAND,2020,26,,-,5,,8,,53,,,-,1,,,-,,-,RHODE ISLAND,,20202607,POINT (-71.534637 41.572574)
OREGON,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20202661,POINT (-120.605279 43.940449)
DELAWARE,2020,26,,-,6,,16,,38,,,-,0,,,-,1,,DELAWARE,,20202629,POINT (-75.452394 38.994926)
ALABAMA,2020,26,,-,17,,175,,266,,,-,0,,,-,1,,ALABAMA,,20202639,POINT (-86.844516 32.756889)
KANSAS,2020,26,,-,0,,,-,127,,,-,0,,,-,3,,KANSAS,,20202622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20202634,POINT (-79.130883 35.52603)
GUAM,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202666,POINT (144.653198 13.3532)
NEW JERSEY,2020,26,,-,32,,287,,388,,,-,4,,24,,29,,NEW JERSEY,,20202610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,26,,-,19,,139,,237,,,-,0,,,-,,-,NEW MEXICO,,20202654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,26,,-,158,,1327,,2061,,,-,6,,31,,44,,,EAST NORTH CENTRAL,20202614,
TENNESSEE,2020,26,,-,27,,301,,443,,,-,1,,2,,4,,TENNESSEE,,20202642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,26,,-,11,,55,,164,,,-,0,,,-,,-,CONNECTICUT,,20202603,POINT (-72.738288 41.575155)
MARYLAND,2020,26,,-,21,,207,,314,,,-,1,,,-,,-,MARYLAND,,20202633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,26,,-,34,,76,,310,,,-,2,,3,,7,,SOUTH CAROLINA,,20202635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20202646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202665,POINT (145.725693 15.1834)
OHIO,2020,26,,-,62,,575,,791,,,-,5,,30,,29,,OHIO,,20202618,POINT (-82.70936 40.415534)
MINNESOTA,2020,26,,-,6,,,-,72,,,-,0,,,-,,-,MINNESOTA,,20202623,POINT (-94.198308 46.349153)
LOUISIANA,2020,26,,-,24,,177,,267,,,-,3,,3,,,-,LOUISIANA,,20202645,POINT (-91.840238 30.921314)
HAWAII,2020,26,,-,4,,29,,70,,,-,0,,,-,,-,HAWAII,,20202660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,26,,-,146,,1206,,1856,,,-,4,,13,,15,,,SOUTH ATLANTIC,20202628,
PENNSYLVANIA,2020,26,,-,11,,78,,120,,,-,1,,2,,2,,PENNSYLVANIA,,20202613,POINT (-77.838886 40.896694)
UTAH,2020,26,,-,13,,102,,131,,,-,1,,,-,1,,UTAH,,20202655,POINT (-111.678222 39.323779)
COLORADO,2020,26,,-,24,,222,,369,,,-,0,,,-,1,,COLORADO,,20202650,POINT (-105.547832 38.998552)
VERMONT,2020,26,,-,5,,21,,37,,,-,1,,1,,1,,VERMONT,,20202608,POINT (-72.662695 44.075252)
KENTUCKY,2020,26,3,,34,,168,,248,,,-,2,,2,,1,,KENTUCKY,,20202640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202667,POINT (-66.414655 18.215692)
MAINE,2020,26,,-,9,,59,,116,,,-,0,,,-,,-,MAINE,,20202604,POINT (-69.06137 45.117911)
VIRGINIA,2020,26,,-,3,,6,,13,,,-,0,,,-,,-,VIRGINIA,,20202636,POINT (-78.666382 37.510861)
ARIZONA,2020,26,,-,36,,425,,479,,,-,1,,3,,1,,ARIZONA,,20202649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20202664,
WISCONSIN,2020,26,,-,23,,187,,281,,,-,0,,,-,,-,WISCONSIN,,20202619,POINT (-89.732969 44.639954)
IDAHO,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20202651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202668,POINT (-64.840836 18.060868)
MICHIGAN,2020,26,,-,44,,315,,581,,,-,4,,1,,13,,MICHIGAN,,20202617,POINT (-85.730977 44.874798)
GEORGIA,2020,26,,-,73,,375,,472,,,-,0,,,-,,-,GEORGIA,,20202632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,26,,-,42,,345,,492,,,-,10,,15,,6,,,NEW YORK CITY,20202612,
ARKANSAS,2020,26,2,,33,,144,,215,,,-,1,,1,,,-,ARKANSAS,,20202644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,26,,-,19,,121,,201,,,-,0,,,-,,-,MISSISSIPPI,,20202641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,26,,-,5,,29,,65,,,-,2,,,-,1,,SOUTH DAKOTA,,20202627,POINT (-100.230491 44.43614)
WYOMING,2020,26,,-,3,,17,,25,,,-,0,,,-,,-,WYOMING,,20202656,POINT (-107.55145 42.999627)
MISSOURI,2020,26,,-,41,,287,,418,,,-,1,,3,,33,,MISSOURI,,20202624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,26,,-,127,,992,,1518,,,-,11,,53,,38,,,MIDDLE ATLANTIC,20202609,
CALIFORNIA,2020,26,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20202659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,26,,-,16,,109,,210,,,-,2,,3,,,-,WEST VIRGINIA,,20202637,POINT (-80.613729 38.642579)
FLORIDA,2020,26,,-,62,,382,,473,,,-,2,,7,,7,,FLORIDA,,20202631,POINT (-82.420978 28.260731)
MONTANA,2020,26,,-,7,,42,,71,,,-,1,,,-,,-,MONTANA,,20202652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,26,1,,54,,424,,842,,,-,3,,5,,38,,,WEST NORTH CENTRAL,20202620,
MASSACHUSETTS,2020,26,,-,19,,176,,288,,,-,1,,,-,3,,MASSACHUSETTS,,20202605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,26,,-,93,,1050,,1536,,,-,2,,3,,3,,,MOUNTAIN,20202648,
INDIANA,2020,26,,-,29,,250,,408,,,-,0,,,-,2,,INDIANA,,20202616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202669,
US TERRITORIES,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202663,
TOTAL,2020,42,61,,908,,8389,,14956,,1,,13,,159,,218,,,TOTAL,20204270,
US RESIDENTS,2020,42,61,,908,,8389,,14956,,1,,13,,159,,218,,,US RESIDENTS,20204201,
NEW HAMPSHIRE,2020,42,,-,8,,62,,95,,,-,1,,2,,,-,NEW HAMPSHIRE,,20204206,POINT (-71.57139 43.680429)
NEW YORK,2020,42,5,,94,,480,,654,,,-,4,,18,,1,,NEW YORK,,20204211,POINT (-75.59655 42.921241)
PACIFIC,2020,42,1,,11,,158,,219,,,-,2,,7,,2,,,PACIFIC,20204257,
WEST SOUTH CENTRAL,2020,42,2,,288,,950,,1848,,,-,4,,16,,24,,,WEST SOUTH CENTRAL,20204243,
NEBRASKA,2020,42,2,,9,,83,,149,,,-,1,,2,,1,,NEBRASKA,,20204225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,42,2,,77,,899,,1498,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20204238,
NORTH DAKOTA,2020,42,,-,6,,37,,62,,,-,0,,,-,,-,NORTH DAKOTA,,20204226,POINT (-100.46931 47.446305)
NEVADA,2020,42,,-,16,,128,,286,,,-,0,,,-,,-,NEVADA,,20204253,POINT (-114.916992 39.283294)
ILLINOIS,2020,42,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20204215,POINT (-89.148632 40.124144)
IOWA,2020,42,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20204221,POINT (-93.500061 42.074659)
TEXAS,2020,42,,-,240,,574,,1252,,,-,4,,12,,23,,TEXAS,,20204247,POINT (-99.317341 31.447238)
ALASKA,2020,42,1,,9,,126,,127,,,-,2,,7,,2,,ALASKA,,20204258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,42,,-,6,,42,,36,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204230,POINT (-77.016275 38.904785)
WASHINGTON,2020,42,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20204262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,42,2,,39,,517,,903,,,-,2,,5,,6,,,NEW ENGLAND,20204202,
RHODE ISLAND,2020,42,,-,8,,37,,67,,,-,0,,,-,1,,RHODE ISLAND,,20204207,POINT (-71.534637 41.572574)
OREGON,2020,42,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20204261,POINT (-120.605279 43.940449)
