Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
DISTRICT OF COLUMBIA,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,4,,,-,2,,,-,0,,,-,,-,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,1,,9,,38,,21,,,-,0,,,-,,-,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,5,,2,,1,,,-,0,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,1,,2,,,-,,-,0,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,2,,1,,2,,,-,0,,,-,,-,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,18,,14,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,5,,1,,11,,,-,0,,,-,,-,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,17,,20,,63,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,21,,,-,6,,,-,0,,,-,,-,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,6,,17,,1,,,-,0,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,3,,2,,1,,,-,0,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,19,,16,,3,,,-,0,,,-,,-,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,2,,2,,2,,,-,,-,0,,,-,,-,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,4,,6,,22,,,-,0,,,-,,-,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,19,,,-,17,,,-,0,,,-,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
WEST VIRGINIA,2020,11,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,1,,21,,13,,10,,,-,0,,,-,,-,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,3,,,-,9,,,-,0,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,23,,37,,20,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,4,,12,,20,,,-,0,,,-,,-,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
SOUTH ATLANTIC,2020,9,3,,29,,46,,27,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,50,,19,,27,,,-,0,,,-,,-,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,3,,6,,16,,23,,,-,0,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,1,,2,,1,,,-,0,,,-,,-,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,10,,5,,6,,,-,0,,,-,,-,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,6,,2,,4,,,-,0,,,-,,-,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,4,,1,,1,,,-,0,,,-,,-,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,1,,4,,1,,11,,,-,0,,,-,,-,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,10,,35,,23,,,-,0,,,-,,-,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,1,,13,,3,,9,,,-,0,,,-,,-,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,5,,,-,8,,,-,0,,,-,,-,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,15,,23,,3,,,-,0,,,-,,-,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,2,,55,,68,,65,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,-,37,,37,,24,,,-,0,,,-,,-,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,2,,21,,8,,7,,,-,0,,,-,,-,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,5,,,-,3,,,-,0,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,23,,27,,16,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,4,,12,,18,,,-,0,,,-,,-,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,3,,13,,21,,40,,,-,0,,,-,,-,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,13,,3,,7,,,-,0,,,-,,-,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
MOUNTAIN,2020,11,2,,13,,27,,57,,,-,0,,,-,,-,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,13,,3,,10,,,-,0,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
NORTH DAKOTA,2020,12,,-,3,,1,,7,,,-,0,,,-,,-,NORTH DAKOTA,,20201226,POINT (-100.46931 47.446305)
NEVADA,2020,12,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20201253,POINT (-114.916992 39.283294)
ILLINOIS,2020,12,,-,3,,15,,35,,,-,0,,,-,,-,ILLINOIS,,20201215,POINT (-89.148632 40.124144)
IOWA,2020,12,,-,2,,5,,3,,,-,0,,,-,,-,IOWA,,20201221,POINT (-93.500061 42.074659)
TEXAS,2020,12,,-,42,,10,,100,,,-,0,,,-,,-,TEXAS,,20201247,POINT (-99.317341 31.447238)
ALASKA,2020,12,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20201258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,12,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201230,POINT (-77.016275 38.904785)
WASHINGTON,2020,12,,-,4,,,-,6,,,-,0,,,-,,-,WASHINGTON,,20201262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,12,,-,9,,40,,27,,,-,0,,,-,,-,,NEW ENGLAND,20201202,
RHODE ISLAND,2020,12,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201207,POINT (-71.534637 41.572574)
OREGON,2020,12,,-,5,,2,,1,,,-,0,,,-,,-,OREGON,,20201261,POINT (-120.605279 43.940449)
DELAWARE,2020,12,,-,2,,4,,,-,,-,0,,,-,,-,DELAWARE,,20201229,POINT (-75.452394 38.994926)
US RESIDENTS,2020,15,3,,107,,425,,905,,,-,0,,,-,,-,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,,-,4,,20,,11,,,-,0,,,-,,-,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,1,,43,,65,,78,,,-,0,,,-,,-,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,2,,57,,27,,216,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,,-,21,,5,,29,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,3,,1,,8,,,-,0,,,-,,-,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,-,3,,18,,41,,,-,0,,,-,,-,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,-,2,,6,,3,,,-,0,,,-,,-,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,,-,42,,10,,152,,,-,0,,,-,,-,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,-,4,,,-,12,,,-,0,,,-,,-,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,9,,42,,36,,,-,0,,,-,,-,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,2,,,-,2,,,-,0,,,-,,-,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,-,5,,2,,1,,,-,0,,,-,,-,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,2,,4,,1,,,-,0,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,2,,1,,2,,,-,0,,,-,,-,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,2,,,-,2,,,-,0,,,-,,-,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,18,,17,,3,,,-,0,,,-,,-,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,5,,5,,23,,,-,0,,,-,,-,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,8,,,-,4,,,-,0,,,-,,-,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,17,,38,,115,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,21,,2,,7,,,-,0,,,-,,-,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,6,,18,,2,,,-,0,,,-,,-,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,3,,3,,2,,,-,0,,,-,,-,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,19,,16,,7,,,-,0,,,-,,-,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,2,,2,,,-,,-,0,,,-,,-,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,4,,9,,28,,,-,0,,,-,,-,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,6,,2,,1,,,-,0,,,-,,-,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,19,,7,,47,,,-,0,,,-,,-,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,,-,1,,2,,,-,,-,0,,,-,,-,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,,-,29,,59,,57,,,-,0,,,-,,-,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,22,,24,,205,,,-,0,,,-,,-,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,4,,1,,11,,,-,0,,,-,,-,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,6,,27,,30,,,-,0,,,-,,-,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,,-,1,,2,,1,,,-,0,,,-,,-,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,1,,,-,3,,,-,0,,,-,,-,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,5,,4,,9,,,-,0,,,-,,-,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,,-,10,,7,,23,,,-,0,,,-,,-,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
PACIFIC,2020,10,,-,42,,45,,29,,,-,0,,,-,,-,,PACIFIC,20201057,
WISCONSIN,2020,15,,-,6,,4,,8,,,-,0,,,-,,-,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20201551,POINT (-114.659366 44.389073)
TOTAL,2020,10,14,,111,,311,,403,,,-,0,,,-,,-,,TOTAL,20201070,
US RESIDENTS,2020,10,14,,111,,311,,403,,,-,0,,,-,,-,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,1,,4,,14,,6,,,-,0,,,-,,-,NEW YORK,,20201011,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,10,1,,57,,16,,84,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,,-,21,,3,,17,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,,-,3,,,-,6,,,-,0,,,-,,-,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,-,3,,8,,32,,,-,0,,,-,,-,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,-,2,,3,,3,,,-,0,,,-,,-,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,1,,42,,7,,56,,,-,0,,,-,,-,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,-,4,,,-,3,,,-,0,,,-,,-,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,,-,9,,40,,21,,,-,0,,,-,,-,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,-,5,,2,,1,,,-,0,,,-,,-,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,2,,4,,,-,,-,0,,,-,,-,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,2,,1,,2,,,-,0,,,-,,-,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,-,18,,14,,1,,,-,0,,,-,,-,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,5,,1,,11,,,-,0,,,-,,-,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,8,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,2,,17,,23,,76,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,,-,21,,,-,6,,,-,0,,,-,,-,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,6,,18,,1,,,-,0,,,-,,-,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,3,,2,,1,,,-,0,,,-,,-,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,19,,16,,3,,,-,0,,,-,,-,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,2,,2,,,-,,-,0,,,-,,-,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,2,,4,,8,,24,,,-,0,,,-,,-,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,6,,2,,1,,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,19,,3,,17,,,-,0,,,-,,-,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,1,,1,,,-,,-,0,,,-,,-,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,4,,29,,52,,28,,,-,0,,,-,,-,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,1,,50,,21,,37,,,-,0,,,-,,-,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,4,,6,,20,,27,,,-,0,,,-,,-,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,1,,2,,1,,,-,0,,,-,,-,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,2,,2,,10,,,-,0,,,-,,-,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
VIRGINIA,2020,10,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,10,,5,,9,,,-,0,,,-,,-,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,,-,6,,3,,5,,,-,0,,,-,,-,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,4,,1,,5,,,-,0,,,-,,-,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,4,,1,,11,,,-,0,,,-,,-,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,11,,36,,23,,,-,0,,,-,,-,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,13,,4,,11,,,-,0,,,-,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,5,,,-,8,,,-,0,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,1,,15,,30,,5,,,-,0,,,-,,-,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,2,,55,,72,,77,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,-,37,,42,,25,,,-,0,,,-,,-,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,4,,21,,12,,7,,,-,0,,,-,,-,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,5,,,-,8,,,-,0,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,1,,23,,35,,18,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,4,,12,,18,,,-,0,,,-,,-,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,4,,13,,25,,53,,,-,0,,,-,,-,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,13,,3,,10,,,-,0,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
GEORGIA,2020,15,,-,7,,2,,18,,,-,0,,,-,,-,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,,-,11,,57,,32,,,-,0,,,-,,-,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,2,,13,,8,,17,,,-,0,,,-,,-,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,,-,5,,,-,19,,,-,0,,,-,,-,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,15,,38,,7,,,-,0,,,-,,-,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,,-,25,,106,,271,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,1,,38,,61,,65,,,-,0,,,-,,-,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,,-,21,,13,,13,,,-,0,,,-,,-,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,,-,3,,1,,10,,,-,0,,,-,,-,MONTANA,,20201552,POINT (-109.645127 47.033521)
